orden_venta,producto,producto_template,cantidad,unidad_medida,precio_unitario,subtotal,actualizado
S00075,[SALS007] SALSA DE CHOCOLATE 1 KG,[SALS007] SALSA DE CHOCOLATE 1 KG,600.0,kg,3.79,2274.0,2026-06-28 08:00:20
S00074,[PTEXP002] SOURSOP PULP 12 X 14 OZ,[PTEXP002] SOURSOP PULP 12 X 14 OZ,0.0,Caja de 12,0.0,0.0,2026-06-28 08:00:20
S00074,[PTEXP005] BLACKBERRY PULP 12 X 14 OZ,[PTEXP005] BLACKBERRY PULP 12 X 14 OZ,0.0,Caja de 12,0.0,0.0,2026-06-28 08:00:20
S00074,[PTEXP004] GUAVA PULP 12 X 14 OZ,[PTEXP004] GUAVA PULP 12 X 14 OZ,0.0,Caja de 12,0.0,0.0,2026-06-28 08:00:20
S00074,[PTEXP005] BLACKBERRY PULP 12 X 14 OZ,[PTEXP005] BLACKBERRY PULP 12 X 14 OZ,1050.0,Caja de 12,13.96,14658.0,2026-06-28 08:00:20
S00074,[PTEXP004] GUAVA PULP 12 X 14 OZ,[PTEXP004] GUAVA PULP 12 X 14 OZ,1470.0,Caja de 12,9.29,13656.3,2026-06-28 08:00:20
S00074,[PTEXP002] SOURSOP PULP 12 X 14 OZ,[PTEXP002] SOURSOP PULP 12 X 14 OZ,1680.0,Caja de 12,15.77,26493.6,2026-06-28 08:00:20
S00072,[SALS006] SALSA DE FRESA EDULCORADA 15 KG,[SALS006] SALSA DE FRESA EDULCORADA 15 KG,1305.0,kg,2.73,3562.65,2026-06-28 08:00:20
S00072,[SALS004] SALSA DE MORA EDULCORADA 15 KG,[SALS004] SALSA DE MORA EDULCORADA 15 KG,600.0,kg,3.69,2214.0,2026-06-28 08:00:20
S00072,[SALS005] SALSA DE DURAZNO EDULCORADA 15 KG,[SALS005] SALSA DE DURAZNO EDULCORADA 15 KG,405.0,kg,3.79,1534.95,2026-06-28 08:00:20
S00072,[SALS008] SALSA LISA DE FRESA ,[SALS008] SALSA LISA DE FRESA ,1500.0,kg,2.8,4200.0,2026-06-28 08:00:20
S00072,[SALS009] SALSA DE ARANDANO,[SALS009] SALSA DE ARANDANO,600.0,kg,11.91,7146.0,2026-06-28 08:00:20
S00063,[SALS008] SALSA LISA DE FRESA ,[SALS008] SALSA LISA DE FRESA ,30.0,kg,2.8,84.0,2026-06-28 08:00:20
S00063,[SALS009] SALSA DE ARANDANO,[SALS009] SALSA DE ARANDANO,60.0,kg,11.91,714.6,2026-06-28 08:00:20
S00071,[PULP011] PULPA DE ARANDANO 8 KG,[PULP011] PULPA DE ARANDANO 8 KG,144.0,kg,8.5,1224.0,2026-06-28 08:00:20
S00071,[PULP002] PULPA DE MORA 41 BX 12 KG,[PULP002] PULPA DE MORA 41 BX 12 KG,96.0,kg,3.96,380.16,2026-06-28 08:00:20
S00071,[PULP020] PULPA DE MORA 14KG,[PULP020] PULPA DE MORA 14KG,476.0,kg,2.67,1270.92,2026-06-28 08:00:20
S00071,[TOPP008] TOPPING DE FRUTILLA 12 BX,[TOPP008] TOPPING DE FRUTILLA 12 BX,588.0,kg,4.5,2646.0,2026-06-28 08:00:20
S00071,[TOPP002] TOPPING DE PIÑA 20BX 2 KG,[TOPP002] TOPPING DE PIÑA 20BX 2 KG,46.0,kg,4.16,191.36,2026-06-28 08:00:20
S00071,[PULP006] PULPA DE FRESA 12 KG,[PULP006] PULPA DE FRESA 12 KG,76.0,kg,2.4,182.4,2026-06-28 08:00:20
S00070,[PULP025] PULPA DE MANGO 16 KG,[PULP025] PULPA DE MANGO 16 KG,144.0,kg,1.37,197.28,2026-06-28 08:00:20
S00069,[SW001] SWIRL DE MORA 20 KG,[SW001] SWIRL DE MORA 20 KG,1360.0,kg,1.93,2624.8,2026-06-28 08:00:20
S00069,[PULP004] PULPA DE MORA CON PEPAS 18 KG,[PULP004] PULPA DE MORA CON PEPAS 18 KG,3474.0,kg,2.76,9588.24,2026-06-28 08:00:20
S00069,[PULP001] COCO RALLADO 20 KG,[PULP001] COCO RALLADO 20 KG,2120.0,kg,4.0,8480.0,2026-06-28 08:00:20
S00045,[PTEXP008] PAPAYA PULP 12 X 14 OZ,[PTEXP008] PAPAYA PULP 12 X 14 OZ,0.0,Caja de 12,0.0,0.0,2026-06-28 08:00:20
S00045,[PTEXP009] PINEAPPLE PULP 12 X 14 OZ,[PTEXP009] PINEAPPLE PULP 12 X 14 OZ,0.0,Caja de 12,0.0,0.0,2026-06-28 08:00:20
S00045,[PTEXP010] TOMATE DE ARBOL WHOLE 8 X 14 OZ,[PTEXP010] TOMATE DE ARBOL WHOLE 8 X 14 OZ,0.0,Caja de 8,0.0,0.0,2026-06-28 08:00:20
S00045,[PTEXP004] GUAVA PULP 12 X 14 OZ,[PTEXP004] GUAVA PULP 12 X 14 OZ,0.0,Caja de 12,0.0,0.0,2026-06-28 08:00:20
S00045,[PTEXP003] NARANJILLA PULP 12 X 14 OZ,[PTEXP003] NARANJILLA PULP 12 X 14 OZ,0.0,Caja de 12,0.0,0.0,2026-06-28 08:00:20
S00045,[PTEXP006] TAMARILLO PULP 12 X 14 OZ,[PTEXP006] TAMARILLO PULP 12 X 14 OZ,0.0,Caja de 12,0.0,0.0,2026-06-28 08:00:20
S00045,[PTEXP003] NARANJILLA PULP 12 X 14 OZ,[PTEXP003] NARANJILLA PULP 12 X 14 OZ,800.0,Caja de 12,10.96,8768.0,2026-06-28 08:00:20
S00045,[PTEXP004] GUAVA PULP 12 X 14 OZ,[PTEXP004] GUAVA PULP 12 X 14 OZ,2490.0,Caja de 12,9.29,23132.1,2026-06-28 08:00:20
S00045,[PTEXP008] PAPAYA PULP 12 X 14 OZ,[PTEXP008] PAPAYA PULP 12 X 14 OZ,200.0,Caja de 12,10.91,2182.0,2026-06-28 08:00:20
S00045,[PTEXP006] TAMARILLO PULP 12 X 14 OZ,[PTEXP006] TAMARILLO PULP 12 X 14 OZ,200.0,Caja de 12,10.53,2106.0,2026-06-28 08:00:20
S00045,[PTEXP009] PINEAPPLE PULP 12 X 14 OZ,[PTEXP009] PINEAPPLE PULP 12 X 14 OZ,310.0,Caja de 12,8.48,2628.8,2026-06-28 08:00:20
S00045,[PTEXP010] TOMATE DE ARBOL WHOLE 8 X 14 OZ,[PTEXP010] TOMATE DE ARBOL WHOLE 8 X 14 OZ,200.0,Caja de 8,9.37,1874.0,2026-06-28 08:00:20
S00067,[SW001] SWIRL DE MORA 20 KG,[SW001] SWIRL DE MORA 20 KG,1200.0,kg,1.93,2316.0,2026-06-28 08:00:20
S00067,[PULP004] PULPA DE MORA CON PEPAS 18 KG,[PULP004] PULPA DE MORA CON PEPAS 18 KG,2016.0,kg,2.76,5564.16,2026-06-28 08:00:20
S00067,[PULP001] COCO RALLADO 20 KG,[PULP001] COCO RALLADO 20 KG,4030.0,kg,1.0,4030.0,2026-06-28 08:00:20
S00066,[PULP011] PULPA DE ARANDANO 8 KG,[PULP011] PULPA DE ARANDANO 8 KG,144.0,kg,8.5,1224.0,2026-06-28 08:00:20
S00066,[PULP002] PULPA DE MORA 41 BX 12 KG,[PULP002] PULPA DE MORA 41 BX 12 KG,96.0,kg,3.96,380.16,2026-06-28 08:00:20
S00066,[PULP020] PULPA DE MORA 14KG,[PULP020] PULPA DE MORA 14KG,476.0,kg,2.67,1270.92,2026-06-28 08:00:20
S00066,[TOPP008] TOPPING DE FRUTILLA 12 BX,[TOPP008] TOPPING DE FRUTILLA 12 BX,588.0,kg,4.5,2646.0,2026-06-28 08:00:20
S00066,[TOPP002] TOPPING DE PIÑA 20BX 2 KG,[TOPP002] TOPPING DE PIÑA 20BX 2 KG,46.0,kg,4.16,191.36,2026-06-28 08:00:20
S00066,[PULP006] PULPA DE FRESA 12 KG,[PULP006] PULPA DE FRESA 12 KG,76.0,kg,2.4,182.4,2026-06-28 08:00:20
S00065,[PULP017] PULPA DE MORA 16 KG,[PULP017] PULPA DE MORA 16 KG,1120.0,kg,3.09,3460.8,2026-06-28 08:00:20
S00065,[PULP005] PULPA DE NARANJILLA 16 KG,[PULP005] PULPA DE NARANJILLA 16 KG,112.0,kg,3.0,336.0,2026-06-28 08:00:20
S00065,[PULP016] PULPA DE FRESA 16 KG,[PULP016] PULPA DE FRESA 16 KG,320.0,kg,2.7,864.0,2026-06-28 08:00:20
S00044,[PTEXP003] NARANJILLA PULP 12 X 14 OZ,[PTEXP003] NARANJILLA PULP 12 X 14 OZ,571.0,Caja de 12,10.96,6258.16,2026-06-28 08:00:20
S00044,[PTEXP004] GUAVA PULP 12 X 14 OZ,[PTEXP004] GUAVA PULP 12 X 14 OZ,1140.0,Caja de 12,9.29,10590.6,2026-06-28 08:00:20
S00044,[PTEXP002] SOURSOP PULP 12 X 14 OZ,[PTEXP002] SOURSOP PULP 12 X 14 OZ,1710.0,Caja de 12,15.77,26966.7,2026-06-28 08:00:20
S00044,[PTEXP007] PASSION FRUIT PULP 12 X 14 OZ,[PTEXP007] PASSION FRUIT PULP 12 X 14 OZ,380.0,Caja de 12,18.58,7060.4,2026-06-28 08:00:20
S00064,[SALS007] SALSA DE CHOCOLATE 1 KG,[SALS007] SALSA DE CHOCOLATE 1 KG,1000.0,kg,3.79,3790.0,2026-06-28 08:00:20
S00043,[PULP009] PULPA DE PAPAYA 16 KG,[PULP009] PULPA DE PAPAYA 16 KG,320.0,kg,2.1,672.0,2026-06-28 08:00:20
S00043,[PULP010] PULPA DE MARACUYA 10 KG,[PULP010] PULPA DE MARACUYA 10 KG,10.0,kg,3.45,34.5,2026-06-28 08:00:20
S00043,[PULP012] PULPA DE TOMATE DE ARBOL 16 KG,[PULP012] PULPA DE TOMATE DE ARBOL 16 KG,3504.0,kg,2.62,9180.48,2026-06-28 08:00:20
S00043,[PULP014] PULPA DE PIÑA 16 KG,[PULP014] PULPA DE PIÑA 16 KG,64.0,kg,2.67,170.88,2026-06-28 08:00:20
S00062,[PTEXP016] Pulpa Mora America x 250 gr (CAJAS 10 UDS),[PTEXP016] Pulpa Mora America x 250 gr (CAJAS 10 UDS),6840.0,Units,0.66,4514.4,2026-06-28 08:00:20
